date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:16	21135/21135	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2000:29:14%20GMT	https://www.panorama-catering.de/panorama-catering/panorama-catering	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/panorama-catering/panorama-catering.html	(from )
01:29:16	1930/1930	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202026%2000:29:15%20GMT	https://www.panorama-catering.de/robots.txt		(from )
01:29:16	4320/4320	---M--	200	added ('OK')	text/css	etag:%2210e0-6214871d397cc%22	https://www.panorama-catering.de/typo3temp/assets/compressed/merged-d61347372b2fafd380da086d74b80597-d13e78c6bda61db4b1450b78016392ae.css?1725444891	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/typo3temp/assets/compressed/merged-d61347372b2fafd380da086d74b80597-d13e78c6bda61db4b1450b78016392aeab33.css	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:16	18956/18956	---M--	200	added ('OK')	text/css	etag:%224a0c-6358ba9cbdc48%22	https://www.panorama-catering.de/typo3temp/assets/compressed/merged-23eba648cec63fea691d2a6751f2957c-b9dfb6478b6bc1733a0627f60f85084c.css?1747723825	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/typo3temp/assets/compressed/merged-23eba648cec63fea691d2a6751f2957c-b9dfb6478b6bc1733a0627f60f85084c63db.css	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:17	2745/2745	---M--	200	added ('OK')	text/css	etag:%22ab9-63099b82b2029%22	https://www.panorama-catering.de/typo3temp/assets/compressed/merged-7cf102d69130bc3142bcdf9d96ca7c6c-6e3ff470cd3dd18f43a49bbba3099551.css?1742286638	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/typo3temp/assets/compressed/merged-7cf102d69130bc3142bcdf9d96ca7c6c-6e3ff470cd3dd18f43a49bbba30995512e49.css	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:17	87533/87533	---M--	200	added ('OK')	text/javascript	etag:%22155ed-63099c1f0b50e%22	https://www.panorama-catering.de/typo3temp/assets/compressed/merged-2d3b4de777634ba56811a705d471936d-db8202b1c553322d7aeb8698b5d0f6d4.js?1742286802	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/typo3temp/assets/compressed/merged-2d3b4de777634ba56811a705d471936d-db8202b1c553322d7aeb8698b5d0f6d4abdf.js	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:18	948/948	---M--	200	added ('OK')	text/javascript	etag:%223b4-5dc6fda148aa1%22	https://www.panorama-catering.de/typo3temp/assets/compressed/merged-d6247c2fa67410e0042a58ac2237ff57-bfcf7b3eaee9e93bab8b543584f624b9.js?1649747841	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/typo3temp/assets/compressed/merged-d6247c2fa67410e0042a58ac2237ff57-bfcf7b3eaee9e93bab8b543584f624b9b3a8.js	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:18	9544/9544	---M--	200	added ('OK')	image/png	etag:%222548-5b0748420f2c0%22	https://www.panorama-catering.de/fileadmin/pc/Sys/Public/Images/Logo-Panorama-Catering.png	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/fileadmin/pc/Sys/Public/Images/Logo-Panorama-Catering.png	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:19	17853/17853	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2000:29:17%20GMT	https://www.panorama-catering.de/panorama-catering/panorama-catering-philosophie	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/panorama-catering/panorama-catering-philosophie.html	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:19	268867/268867	---M--	200	added ('OK')	image/jpeg	etag:%2241a43-64b7e9284b60b%22	https://www.panorama-catering.de/fileadmin/pc/Daten/Slider/Wuerth-Open-Air-26-Aushilfe.jpg	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/fileadmin/pc/Daten/Slider/Wuerth-Open-Air-26-Aushilfe.jpg	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:19	112774/112774	---M--	200	added ('OK')	image/jpeg	etag:%221b886-61ac0ba01ff40%22	https://www.panorama-catering.de/fileadmin/pc/Daten/SB/pc-home-01.jpg	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/fileadmin/pc/Daten/SB/pc-home-01.jpg	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:20	290067/290067	---M--	200	added ('OK')	image/jpeg	etag:%2246d13-5b2e13814aff3%22	https://www.panorama-catering.de/fileadmin/pc/Daten/Bilder/Betriebsrestaurant.jpg	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/fileadmin/pc/Daten/Bilder/Betriebsrestaurant.jpg	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:20	117948/117948	---M--	200	added ('OK')	image/jpeg	etag:%221ccbc-61ac0c034e940%22	https://www.panorama-catering.de/fileadmin/pc/Daten/SB/pc-philo-03.jpg	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/fileadmin/pc/Daten/SB/pc-philo-03.jpg	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
01:29:20	955063/955063	---M--	200	added ('OK')	image/png	etag:%22e92b7-63099b8297a49%22	https://www.panorama-catering.de/fileadmin/_processed_/4/7/csm_Stellenausschreibung_WOA25_14aff217ba.png	C:/My%20Web%20Sites/panorama-old/www.panorama-catering.de/fileadmin/_processed_/4/7/csm_Stellenausschreibung_WOA25_14aff217ba.png	(from https://www.panorama-catering.de/panorama-catering/panorama-catering)
